origin,destination,weight (no. of flights per week),airline
3,1,7,British Airways
25,68,0,P.I.A.
11,68,3,P.I.A.
40,68,2,P.I.A.
41,68,3,P.I.A.
24,68,3,P.I.A.
3,68,2,P.I.A.
39,68,2,P.I.A.
21,68,2,P.I.A.
27,68,0,P.I.A.
1,68,7,P.I.A.
29,68,0,P.I.A.
9,68,5,P.I.A.
2,68,5,P.I.A.
42,68,1,P.I.A.
5,68,3,P.I.A.
43,68,2,P.I.A.
6,68,3,P.I.A.
44,68,0,P.I.A.
68,1,7,P.I.A.
16,68,7,Turkish Airlines
16,1,4,Turkish Airlines
1,68,7,Emirates
53,1,10,Emirates
54,1,21,Emirates
26,1,5,Emirates
11,1,15,Emirates
55,1,7,Emirates
56,1,6,Emirates
40,1,8,Emirates
57,1,7,Emirates
58,1,11,Emirates
59,1,4,Emirates
60,1,4,Emirates
15,1,11,Emirates
61,1,12,Emirates
4,1,8,Emirates
62,1,5,Emirates
41,1,4,Emirates
35,1,8,Emirates
36,1,9,Emirates
63,1,17,Emirates
68,1,21,Emirates
2,1,6,Emirates
3,1,8,Emirates
64,1,17,Emirates
65,1,6,Emirates
42,1,10,Emirates
50,1,14,Emirates
13,1,8,Emirates
66,1,7,Emirates
67,1,7,Emirates
53,1,10,Emirates
27,68,0,Qatar Airways
27,1,0,Qatar Airways
22,1,12,Air France
24,1,12,Air France
44,1,12,Air France
3,1,7,Air France
21,1,30,Air France
20,1,21,Air France
16,1,24,Air France
55,1,35,Air France
52,1,19,Air France
21,1,7,Lufthansa
5,1,7,Lufthansa
52,1,7,Lufthansa
