origin,destination
3,1
25,68
11,68
40,68
41,68
24,68
3,68
39,68
21,68
27,68
1,68
29,68
9,68
2,68
42,68
5,68
43,68
6,68
44,68
68,1
16,68
16,1
1,68
53,1
54,1
26,1
11,1
55,1
56,1
40,1
57,1
58,1
59,1
60,1
15,1
61,1
4,1
62,1
41,1
35,1
36,1
63,1
68,1
2,1
3,1
64,1
65,1
42,1
50,1
13,1
66,1
67,1
53,1
27,68
27,1
22,1
24,1
44,1
3,1
21,1
20,1
16,1
55,1
52,1
21,1
5,1
52,1
